Ticker,Company Name,2015,2014,2013,2012,2011,2010,2009,2008
A,Agilent Technologies Inc.,13888.1,13755.8,19068.3,14212.7,12142.5,14293.4,10812.4,5396.4
AA,Alcoa Inc.,12931,19211.1,11384.8,9263.4,9207.2,15729,15707,9011.6
AAL,American Airlines Group,26694.3,37405.6,6592,,,,,
AAP,Advance Auto Parts Inc,11022.9,11639.2,8061.9,5309.3,5069,5421.4,3789.9,3191.8
AAPL,Apple Inc.,586859.3,643120.1,500680.6,499693.3,377546.7,297089,190980.8,75996.9
ABBV,AbbVie Inc.,96842.4,104140.5,83828.5,,,,,
ABC,AmerisourceBergen Corp.,21326.2,19775.8,16206,9927.9,9609.6,9338.7,7399.3,5466.8
ABI,Applied Biosystems Inc.,,,,,,,,
ABK,Ambac Financial Group Inc.,,,,,,,238.7,373.4
ABT,Abbott Laboratories,66993.1,67891.7,59338.6,103271.7,88302.4,74116,83747.6,82853.3
ACAS,American Capital Ltd.,,3899.4,4225.9,3658.9,2214.8,2588.5,685.4,663.2
ACE,ACE Limited,37880.5,37756.5,35178.9,27157.6,23625.3,20850.2,16960.9,17656.5
ACN,Accenture plc,65292.1,56098.2,52373.3,42848.2,34450.9,31064,26245.6,19915
ACS,ACS Inc.,,,,,,,5828.3,4469
ADBE,Adobe Systems Inc.,46857.2,36167.1,29716.1,18618.9,13895.8,15448.4,19223.3,11200.9
ADI,Analog Devices Inc.,17263.2,17301.5,15917.1,12869.7,10656.4,11286.3,9401.1,5539.2
ADM,Archer-Daniels-Midland Co.,21888.4,33124,28600.6,18038.1,18933.2,19161,20132.3,18505.7
ADP,"ADP, LLC.",39073.5,39775.8,38897.1,27594,26416.3,22871.6,21534.2,19827.4
ADS,Alliance Data Systems Corp.,16908.9,18253.4,13554,7180.5,5174.3,3648.9,3371.5,2922.4
ADSK,Autodesk Inc.,13728.9,13633.6,11407.5,7904.3,6851.5,8671.4,5815.9,4447.9
ADT,ADT Corp.,5439.6,6222.1,7416.7,10822.1,,,,
AEE,Ameren Corp.,10489.1,11191.1,8772.4,7452.7,8037.3,6776.9,6635.3,7061.1
AEP,American Electric Power,28599.9,29716.5,22798.7,20728.3,19970.2,17299.4,16631.5,13514
AES,AES Corp.,6439.3,9692,10483.6,7963.6,9059.8,9593.1,8886.8,5461.4
AET,Aetna Inc.,37701.4,31072.7,24843.3,15171.2,14753.8,11728,13656.4,13004.6
AFL,AFLAC Inc.,25561.7,27029,30688.8,24848.8,20172.6,26503,21671.3,21389.6
AGN,"Allergan, Plc",123193.4,68445.3,29262.6,10982.2,7675.2,6497.6,4887.9,2779.4
AGN (Old),Allergan Inc. (Old),,63613.9,33058.2,27548.7,26784.6,20980.4,19182.3,12260.8
AIG,"AIG, Inc.",76657.7,77065.7,74740.4,52114.2,44006.2,40062.8,20044.7,4222.8
AIV,Aimco,6261.7,5438.9,3780.7,3939,2770.2,3039.9,1854.4,1341.9
AIZ,Assurant Inc.,5302.7,4742.2,4767.2,2729.6,3634.8,3929,3438.8,3521.1
AKAM,Akamai Technologies Inc.,9364.9,11225.8,8425.5,7273.1,5729.9,8779.7,4339.4,2555.8
AKS,AK Steel Holding Corp.,,1052.7,1118.3,625.3,910.9,1800.5,2335.6,1028.9
ALL,Allstate Corp.,24047.8,29364.5,24488.5,19241.4,13732.4,16992,16131.5,17559.4
ALLE,Allegion,6322.5,5314.8,4243.5,,,,,
ALTR,Altera Corp.,,11171.8,10330.7,10989.8,11948.2,11367.6,6717,4891.6
ALXN,Alexion Pharmaceuticals,42980.6,36831.3,26171.5,18250.3,13264.6,7369.8,4345,2948.6
AMAT,Applied Materials Inc.,21454.3,30626.7,21411.7,13728.5,13827.9,18537.7,18725.2,13466.3
AMD,Advanced Micro Devices,,2071.9,2805.8,1711.2,3769.2,5586.9,6495.3,1315.4
AME,Ametek,12748.1,12701.5,12904.5,9144.4,6751.7,6307.8,4125.5,3224.2
AMG,Affiliated Managers Group,8633,11588.3,11473,6793.8,4931.8,5120.2,2852.3,1655.8
AMGN,Amgen Inc.,122450.1,121124.1,86084.8,65193.1,51085.5,51166.8,56287.2,60464.3
AMP,Ameriprise Financial,18529,24216.3,22103.2,12773,11017.3,14197.5,9902.8,5057.7
AMT,American Tower Corp.,41065.1,39213.7,31518,30528.7,23622.5,20587.7,17353,11639.4
AMZN,Amazon.com Inc.,316831.5,144312.8,183044.6,113895,78760.5,81180,59726.9,21947.8
AN,AutoNation Inc.,6599.9,6845.2,6008.3,4798,5006.4,4183.9,3288.6,1747.3
ANF,Abercrombie & Fitch,,1986.2,2514.4,3763,4182.6,5028,3066.3,2021.8
ANR,Alpha Natural Resources,,370.1,1578,2149,4491,7233.1,5226.1,1141.6
ANTM,Anthem Inc.,36403.6,33693.4,27095.6,18563.2,22483.5,21478.1,26218.3,21201.1
AON,Aon plc,25257.9,26552.4,25225.7,17289.1,15200.6,15289.1,10209.9,12429.5
APA,Apache Corporation,16810.3,23595.6,34012.7,30743.8,34793.4,45592.6,34710.2,24945.9
APC,Anadarko Petroleum Corp.,24685.6,41794.5,39953.5,37192.2,38042.9,37790.6,30748.1,17729.1
APD,Air Products & Chemicals,28037.4,30904.7,23660.8,17444.7,17941.5,19547,17197.1,10539.3
APH,Amphenol Corp.,16100.5,16674.9,14108.8,10342.8,7404.1,9265.6,7998.8,4105
APOL,Apollo Group Inc.,,3714.5,3095.4,2348.1,7028.9,5835.4,9373.9,12178.4
ARG,Airgas Inc.,9987,8641.6,8257.8,6989.2,5948.9,5253.1,3912.2,3162.8
ASH,Ashland Inc.,,8383.2,7472.1,6352.4,4458.5,4017.9,2971.5,662.1
ATI,Allegheny Technologies Inc.,,3779.9,3847.4,3260.6,5083.8,5437.5,4390.6,2484.9
ATVI,Activision Blizzard Inc,28304.1,14546.9,12547.1,11805.3,13963.4,14720.5,13892.3,11337.7
AW,Allied Waste Industries Inc.,,,,,,,,
AVB,AvalonBay Communities,25203.2,21575.6,15301,15511.9,12430,9667.9,6694.3,4671.9
AVGO,Avago Technologies,40132.5,25780.2,13202.7,7788.7,7034.9,6915.8,4317.4,
AVP,Avon Products,,4081.8,7471.8,6206.4,7526.1,12482.4,13465.6,10245.2
AVY,Avery Dennison Corp,5708.5,4693,4827.2,3489,3047.8,4462.3,3842.9,3219.6
AXP,American Express Co,68454.3,95179.9,96536.7,63515.4,54905.9,51375.2,48299.8,21518
AYE,Allegheny Energy Inc.,,,,,,4120.1,3981.5,5734.7
AZO,AutoZone Inc,22617.1,19748.4,16110.9,12876.8,12790.8,11937.3,7823.8,8014.6
BA,Boeing Co.,96873,92666.6,102565.8,56827.2,54516.2,47873.4,39330.8,30075.3
BAC,Bank of America Corp.,175242,188139.3,166071.7,125133.5,56355.4,134535.9,130273.1,70647.5
BAX,Baxter International Inc.,20868.7,39750.9,37768.3,36410.6,27756.8,29396.7,35265,33011.1
BBBY,Bed Bath & Beyond,8052.5,14137.2,17098,12643.3,13985,12520.1,10116,6602.2
